id,product_id,product_name,price,quantity,flavors,category,size,calories,ingredients,availability,rating
1,COF0001,Macchiato,317.45,186,Mint,Cold,Medium,332,"Spices, Sugar",TRUE,3
2,COF0002,Frappuccino,60.35,172,Hazelnut,Iced,Large,483,"Chocolate, Spices, Coffee Beans, Sugar, Tea Leaves",FALSE,3.5
3,COF0003,Iced Latte,216.77,26,Cinnamon,Iced,Small,485,"Ice, Sugar, Chocolate, Milk, Tea Leaves",TRUE,3.5
4,COF0004,Latte,289.52,21,None,Hot,Small,418,"Milk, Tea Leaves",FALSE,3.7
5,COF0005,Latte,171.15,84,None,Iced,Small,336,"Coffee Beans, Tea Leaves, Ice, Milk, Chocolate",FALSE,2.3
6,COF0006,Frappuccino,378.72,158,Cinnamon,Iced,Medium,221,"Spices, Coffee Beans",TRUE,4.7
7,COF0007,Mocha,491.3,116,Hazelnut,Iced,Medium,120,"Ice, Cream",FALSE,2.5
8,COF0008,Masala Chai,270.07,65,Cardamom,Iced,Small,330,"Sugar, Cream, Chocolate, Coffee Beans",FALSE,1
9,COF0009,Iced Latte,134.14,192,Vanilla,Hot,Small,484,"Milk, Ice, Sugar",TRUE,1.2
10,COF0010,Mocha,126.03,178,Caramel,Cold,Small,269,"Cream, Chocolate, Tea Leaves, Ice, Coffee Beans",TRUE,1.9
11,COF0011,Choco Frappe,175.65,66,Hazelnut,Blended,Small,241,"Tea Leaves, Chocolate, Spices, Cream, Sugar",FALSE,4.1
12,COF0012,Espresso,118.5,26,Mint,Iced,Medium,115,"Ice, Milk, Cream, Spices, Tea Leaves",FALSE,3.3
13,COF0013,Americano,71.8,32,Vanilla,Blended,Large,480,"Milk, Ice, Cream, Spices",TRUE,2.7
14,COF0014,Espresso,234.96,173,Hazelnut,Blended,Medium,417,"Chocolate, Cream",FALSE,2.6
15,COF0015,Macchiato,263.41,51,Hazelnut,Cold,Medium,276,"Milk, Ice, Coffee Beans, Tea Leaves, Spices",FALSE,3
16,COF0016,Macchiato,223,187,Caramel,Hot,Large,423,"Spices, Ice, Milk",TRUE,4.1
17,COF0017,Espresso,135.05,124,Cinnamon,Hot,Small,197,"Sugar, Cream, Spices",TRUE,1.6
18,COF0018,Masala Chai,303.59,184,Caramel,Hot,Large,145,"Coffee Beans, Cream, Milk, Ice, Tea Leaves",FALSE,4.3
19,COF0019,Choco Frappe,217.53,47,Vanilla,Hot,Large,252,"Ice, Cream, Milk, Chocolate",FALSE,4.3
20,COF0020,Latte,286.31,161,Caramel,Iced,Large,394,"Ice, Milk",TRUE,3.3
21,COF0021,Mocha,333.32,122,Cinnamon,Blended,Medium,102,"Cream, Milk, Coffee Beans, Ice, Spices",FALSE,2.9
22,COF0022,Masala Chai,320.53,65,Mint,Iced,Small,273,"Ice, Cream, Spices",TRUE,2.7
23,COF0023,Mocha,264.52,89,Cinnamon,Iced,Small,413,"Coffee Beans, Cream, Milk, Spices, Chocolate",TRUE,4.4
24,COF0024,Americano,132.37,48,Chocolate,Iced,Small,163,"Milk, Ice, Chocolate, Cream",FALSE,1.8
25,COF0025,Cappuccino,396.92,147,Mint,Iced,Large,324,"Cream, Chocolate, Ice",TRUE,1.9
